评论ID,提及品牌,平台,评论内容,点赞数,评论数,转发数,情感倾向,发布时间
CM00001,竞品B,B站,这个品牌的产品真的很好用，支持了好多年了,53,10,3,正面,2023-05-26
CM00002,竞品B,抖音,感觉最近质量不如以前了，有点失望,60,9,9,负面,2023-05-16
CM00003,竞品C,微博,用了过敏，不知道是不是正品,52,11,9,负面,2023-05-27
CM00004,竞品C,B站,感觉最近质量不如以前了，有点失望,63,11,4,负面,2023-02-01
CM00005,品牌A,B站,什么时候出新品啊，等好久了,51,13,2,正面,2023-08-13
CM00006,竞品B,B站,国货之光，必须支持,48,9,3,正面,2023-03-10
CM00007,竞品B,抖音,用了过敏，不知道是不是正品,62,3,3,负面,2023-04-09
CM00008,品牌A,小红书,国货之光，必须支持,50,5,7,正面,2023-07-20
CM00009,品牌A,小红书,颜值很高，就是有点不耐用,36,12,7,中性,2023-02-03
CM00010,品牌A,抖音,客服态度太差了，再也不会买了,58,10,3,负面,2023-08-02
CM00011,品牌A,抖音,性价比很高，比XX品牌好多了,47,13,7,正面,2023-05-17
CM00012,竞品C,小红书,感觉最近质量不如以前了，有点失望,54,8,2,负面,2023-07-16
CM00013,品牌A,B站,这个品牌的产品真的很好用，支持了好多年了,36,11,7,正面,2023-09-04
CM00014,竞品C,抖音,什么时候出新品啊，等好久了,46,7,5,正面,2023-06-12
CM00015,竞品C,小红书,用了过敏，不知道是不是正品,61,7,5,负面,2023-11-27
CM00016,竞品C,微博,感觉最近质量不如以前了，有点失望,61,11,4,负面,2023-06-16
CM00017,竞品B,小红书,物流很快，包装也很好，推荐购买,43,8,6,正面,2023-01-18
CM00018,竞品B,小红书,感觉最近质量不如以前了，有点失望,57,14,3,负面,2023-02-03
CM00019,竞品B,B站,性价比很高，比XX品牌好多了,64,9,4,正面,2023-06-13
CM00020,竞品B,抖音,这个品牌的产品真的很好用，支持了好多年了,57,8,10,正面,2023-06-12
CM00021,品牌A,小红书,国货之光，必须支持,49,10,3,正面,2023-09-24
CM00022,竞品C,微博,用了过敏，不知道是不是正品,48,9,5,负面,2023-08-13
CM00023,竞品B,抖音,物流很快，包装也很好，推荐购买,62,9,7,正面,2023-04-28
CM00024,品牌A,小红书,国货之光，必须支持,58,6,4,正面,2023-01-25
CM00025,品牌A,抖音,感觉最近质量不如以前了，有点失望,45,5,7,负面,2023-04-23
CM00026,竞品B,抖音,国货之光，必须支持,52,10,7,正面,2023-04-22
CM00027,竞品C,抖音,价格有点贵，但是一分钱一分货吧,44,11,4,中性,2023-12-17
